Hip,Distance UT,DistanceGO,Time UT,Time GO,Stride Frequency UT,Stride Frequency GO,Stride Length UT,Stride Length GO,diff
1,205,205,10.30,11.8,2.42,2.37,6.79,6.25,-0.54
2,205,205,10.00,11,2.30,2.37,6.86,6.69,-0.17
3,,,,,,,,,
4,205,205,10.00,10.3,2.34,2.25,7.27,7.44,0.17
5,,,,,,,,,
6,205,205,10.00,10.2,2.33,2.29,7.19,7.40,0.20
7,205,205,10.10,10.9,2.28,2.10,7.24,7.42,0.18
8,,,,,,,,,
9,404.32,205,21.30,11.8,2.20,2.17,6.98,6.70,-0.28
10,205,205,10.00,10.3,2.42,2.28,6.99,7.37,0.38
