Hip,Distance UT,DistanceGO,Time UT,Time GO,Stride Frequency UT,Stride Frequency GO,Stride Length UT,Stride Length GO,diff
380.0,205.0,205.0,10,10.3,2.88,2.61,7.11,7.62,0.51
381.0,205.0,205.0,,,,,,,
382.0,205.0,205.0,,,,,,,
383.0,205.0,205.0,,,,,,,
384.0,205.0,205.0,10.1,10.9,2.55,2.38,6.43,6.53,0.1
385.0,205.0,205.0,10.4,11.8,2.83,2.67,6.96,6.5,-0.46
386.0,404.32,205.0,21,12.0,2.34,2.72,6.55,6.27,-0.28
387.0,205.0,205.0,10,10.4,2.91,2.67,7.05,7.37,0.32
388.0,205.0,205.0,10.2,11.0,2.86,2.72,7.03,6.84,-0.19
389.0,205.0,205.0,10,10.4,2.39,2.28,6.85,7.1,0.25
390.0,205.0,205.0,,,,,,,
391.0,205.0,205.0,9.3,10.7,2.62,2.52,6.86,6.34,-0.52
392.0,205.0,205.0,10,10.4,2.55,2.44,6.5,6.7,0.2
393.0,205.0,205.0,10,11.0,2.55,2.47,6.5,6.28,-0.22
394.0,205.0,205.0,10.2,11.0,2.37,2.28,6.77,6.71,-0.06
395.0,205.0,205.0,10.1,10.3,,,,,
396.0,205.0,205.0,10,11.0,2.53,2.36,6.56,6.52,-0.04
397.0,205.0,205.0,10.2,11.2,2.91,2.56,6.91,5.99,-0.92
398.0,205.0,205.0,10,10.4,2.8,2.65,7.32,7.43,0.11
399.0,205.0,205.0,,,,,,,
400.0,205.0,205.0,10.4,11.9,2.37,2.75,6.64,6.27,-0.37
401.0,205.0,205.0,10.1,11.0,2.88,2.27,7.04,6.73,-0.31
402.0,205.0,205.0,10.1,11.0,2.42,2.68,6.72,6.95,0.23
403.0,205.0,205.0,10.1,11.0,2.34,2.72,6.9,6.84,-0.06
404.0,205.0,205.0,,,,,,,
405.0,205.0,205.0,10,10.4,2.42,2.75,6.79,7.16,0.37
406.0,205.0,205.0,10,11.1,2.55,2.5,6.5,6.15,-0.35
407.0,205.0,205.0,10.1,11.0,2.88,-0.79,7.04,7.0,-0.04
408.0,205.0,205.0,10,10.3,2.34,2.7,6.97,7.36,0.39
409.0,205.0,205.0,10.1,10.9,2.63,2.52,7.71,7.47,-0.24
410.0,205.0,205.0,10,10.4,2.55,2.47,6.5,6.64,0.14
411.0,205.0,205.0,10.2,11.0,2.8,2.6,7.18,7.16,-0.02
412.0,205.0,205.0,10.1,10.3,2.86,2.72,7.1,7.3,0.2
413.0,205.0,205.0,,,,,,,
414.0,205.0,205.0,,,,,,,
415.0,205.0,205.0,10.1,10.9,,,,,
416.0,205.0,205.0,9.4,10.8,2.55,2.44,6.91,6.45,-0.46
417.0,205.0,205.0,10.2,11.0,2.49,2.38,6.51,6.47,-0.04
418.0,205.0,205.0,10.2,11.0,2.37,2.75,6.77,6.77,0.0
419.0,205.0,205.0,9.4,10.8,2.43,2.3,7.2,6.78,-0.42
420.0,205.0,205.0,,,,,,,
421.0,205.0,205.0,,,,,,,
422.0,205.0,205.0,10.1,11.1,2.58,2.47,6.37,6.22,-0.15
423.0,205.0,205.0,,,,,,,
424.0,205.0,205.0,,,,,,,
425.0,205.0,205.0,,,,,,,
426.0,205.0,205.0,10.2,11.0,2.63,2.47,6.23,6.28,0.05
427.0,205.0,205.0,10.3,11.1,2.7,2.61,7.38,7.07,-0.31
428.0,205.0,205.0,10,10.4,2.58,2.43,6.44,6.72,0.28
429.0,205.0,205.0,10.2,11.0,2.72,2.62,7.38,7.1,-0.28
430.0,205.0,205.0,11.4,11.8,2.91,2.36,6.19,6.08,-0.11
431.0,205.0,205.0,10.2,11.1,2.75,2.49,7.3,6.17,-1.13
432.0,205.0,205.0,10.1,11.0,2.88,2.72,7.04,6.84,-0.2
433.0,404.32,205.0,20.3,11.8,2.39,2.32,6.65,6.15,-0.5
434.0,205.0,205.0,10,10.4,2.86,2.67,7.18,7.37,0.19
435.0,205.0,205.0,10.1,11.0,2.37,2.28,6.84,6.71,-0.13
436.0,205.0,205.0,10,10.3,2.34,2.36,6.97,6.97,0.0
437.0,205.0,205.0,9.4,10.7,2.37,2.3,7.35,6.84,-0.51
438.0,205.0,205.0,10.2,11.0,2.78,2.65,7.24,7.03,-0.21
439.0,205.0,205.0,,,,,,,
440.0,205.0,205.0,10,10.3,2.42,2.32,6.79,7.05,0.26
441.0,205.0,205.0,,,,,,,
442.0,205.0,205.0,10,10.3,2.91,2.67,7.05,7.44,0.39
443.0,205.0,205.0,,,,,,,
444.0,404.32,205.0,21.2,11.9,2.8,2.65,6.81,6.49,-0.32
445.0,205.0,205.0,9.4,10.7,2.58,2.41,6.85,6.59,-0.26
446.0,205.0,205.0,10,10.4,2.49,2.38,6.64,6.84,0.2
447.0,205.0,205.0,,,,,,,
448.0,205.0,205.0,10.2,11.1,2.92,2.28,6.89,6.65,-0.24
449.0,205.0,205.0,9.4,10.8,2.46,2.27,7.13,6.85,-0.28
450.0,205.0,205.0,,,,,,,
451.0,205.0,205.0,,,,,,,
452.0,205.0,205.0,10.4,11.7,2.46,2.28,6.45,6.31,-0.14
453.0,404.32,205.0,20.2,11.1,2.8,2.65,7.15,6.96,-0.19
454.0,205.0,205.0,,,,,,,
455.0,205.0,205.0,10,10.4,2.91,2.72,7.05,7.23,0.18
456.0,205.0,205.0,10.2,11.1,2.91,2.3,6.91,6.59,-0.32
457.0,205.0,205.0,,,,,,,
458.0,205.0,205.0,10.1,11.1,2.37,2.28,6.84,6.65,-0.19
459.0,205.0,205.0,10,10.4,2.43,2.72,6.77,7.23,0.46
460.0,205.0,205.0,,,,,,,
461.0,205.0,205.0,10.1,11.0,2.88,2.7,7.04,6.91,-0.13
462.0,205.0,205.0,10,10.4,2.49,2.44,6.64,6.7,0.06
463.0,205.0,205.0,10.1,10.9,2.49,2.27,6.58,6.79,0.21
464.0,205.0,205.0,10.1,10.9,2.37,2.3,6.84,6.71,-0.13
465.0,205.0,205.0,10.2,11.0,2.34,2.7,6.83,6.91,0.08
466.0,205.0,205.0,9.4,10.7,2.43,2.27,7.2,6.92,-0.28
467.0,205.0,205.0,10,11.0,2.58,2.47,6.44,6.28,-0.16
468.0,205.0,205.0,10.1,10.9,2.52,2.36,6.52,6.58,0.06
469.0,205.0,205.0,,,,,,,
470.0,205.0,205.0,,,,,,,
471.0,404.32,205.0,21.4,11.9,2.8,2.65,6.74,6.49,-0.25
472.0,404.32,205.0,21,11.1,2.85,2.7,6.76,6.85,0.09
473.0,205.0,205.0,10.2,11.1,2.34,2.3,6.83,6.59,-0.24
474.0,205.0,205.0,9.4,10.8,2.53,2.33,6.98,6.7,-0.28
475.0,205.0,205.0,10,10.4,2.52,2.47,6.58,6.64,0.06
476.0,205.0,205.0,9.4,10.8,2.37,2.3,7.35,6.78,-0.57
477.0,205.0,205.0,10,10.4,2.46,2.36,6.7,6.9,0.2
478.0,205.0,205.0,10.1,10.9,2.4,2.33,6.76,6.64,-0.12
479.0,205.0,205.0,10.1,10.9,2.91,2.28,6.98,6.77,-0.21
480.0,205.0,205.0,,,,,,,
481.0,205.0,205.0,10.3,11.0,2.43,2.33,6.57,6.58,0.01
482.0,205.0,205.0,10,10.3,2.37,2.3,6.91,7.11,0.2
483.0,205.0,205.0,10,10.4,2.37,2.72,6.91,7.23,0.32
484.0,205.0,205.0,10.2,11.2,2.46,2.32,6.57,6.48,-0.09
485.0,205.0,205.0,10.2,11.1,2.88,2.7,6.97,6.85,-0.12
486.0,205.0,205.0,,,,,,,
487.0,205.0,205.0,,,,,,,
488.0,404.32,205.0,21.2,11.9,2.4,2.52,6.35,6.84,0.49
489.0,404.32,205.0,21,11.3,2.78,2.58,6.93,7.02,0.09
490.0,205.0,205.0,10,11.0,2.46,2.75,6.7,6.77,0.07
491.0,205.0,205.0,,,,,,,
492.0,205.0,205.0,10.1,11.1,2.37,2.7,6.84,6.83,-0.01
493.0,205.0,205.0,10.2,11.1,,,,,
494.0,205.0,205.0,10.3,11.7,2.49,2.44,6.45,5.96,-0.49
495.0,205.0,205.0,10,11.0,2.49,2.42,6.64,6.39,-0.25
496.0,205.0,205.0,10,11.0,2.4,2.27,6.83,6.73,-0.1
497.0,205.0,205.0,10,11.0,2.52,2.38,6.58,6.47,-0.11
498.0,205.0,205.0,,,,,,,
499.0,205.0,205.0,10,10.4,2.37,2.3,6.91,7.04,0.13
500.0,404.32,205.0,21.1,11.3,2.78,2.56,6.9,7.09,0.19
501.0,205.0,205.0,10.1,11.2,2.86,2.68,7.1,6.83,-0.27
502.0,205.0,205.0,10,10.3,2.55,2.44,6.5,6.77,0.27
503.0,205.0,205.0,10.2,11.0,2.58,2.47,6.31,6.28,-0.03
504.0,404.32,205.0,21.1,11.3,2.65,2.56,7.22,7.08,-0.14
505.0,205.0,205.0,9.4,10.9,2.53,2.35,6.98,6.6,-0.38
506.0,205.0,205.0,10,10.3,2.39,2.32,6.85,7.05,0.2
507.0,205.0,205.0,10.3,11.7,2.92,2.7,6.83,6.48,-0.35
508.0,205.0,205.0,9.3,10.8,2.39,2.29,7.36,6.8,-0.56
509.0,205.0,205.0,,,,,,,
510.0,205.0,205.0,10.1,10.9,2.37,2.35,6.84,6.6,-0.24
511.0,205.0,205.0,10,11.0,2.58,2.47,6.44,6.28,-0.16
512.0,205.0,205.0,10.1,11.0,2.43,2.38,6.7,6.47,-0.23
513.0,404.32,205.0,21.1,11.9,2.93,2.75,6.53,6.25,-0.28
514.0,205.0,205.0,10,10.4,2.52,2.41,6.58,6.78,0.2
515.0,205.0,205.0,10.1,11.0,2.46,2.41,6.64,6.41,-0.23
516.0,205.0,205.0,,,,,,,
517.0,205.0,205.0,10.2,11.1,2.39,2.3,6.71,6.59,-0.12
518.0,205.0,205.0,10,10.3,,,,,
519.0,205.0,205.0,9.4,10.8,,,,,
520.0,205.0,205.0,10.1,11.1,,,,,
521.0,205.0,205.0,10.3,11.0,2.34,2.32,6.77,6.6,-0.17
522.0,205.0,205.0,,,,,,,
523.0,205.0,205.0,10.1,10.9,2.4,2.36,6.76,6.58,-0.18
524.0,205.0,205.0,10.4,11.9,2.75,2.3,7.17,6.15,-1.02
525.0,205.0,205.0,10.1,10.9,2.75,2.36,7.38,6.58,-0.8
526.0,205.0,205.0,9.4,10.7,,,,,
527.0,205.0,205.0,10,10.4,2.85,2.72,7.2,7.25,0.05
528.0,205.0,205.0,10.2,11.2,2.75,2.54,7.32,7.21,-0.11
529.0,205.0,205.0,,,,,,,
530.0,205.0,205.0,10,10.3,2.55,2.43,6.5,6.79,0.29
531.0,205.0,205.0,10.1,10.9,,,,,
532.0,205.0,205.0,10.2,11.0,,,,,
533.0,205.0,205.0,9.4,10.8,2.55,2.41,6.91,6.53,-0.38
534.0,205.0,205.0,10,10.4,2.46,2.63,6.7,6.31,-0.39
535.0,205.0,205.0,10.1,11.0,2.85,2.7,7.12,6.91,-0.21
536.0,205.0,205.0,10.1,11.0,2.55,2.41,6.43,6.41,-0.02
537.0,404.32,205.0,20.3,11.0,2.85,2.28,6.99,6.71,-0.28
538.0,205.0,205.0,10.4,11.8,2.46,2.42,6.45,5.96,-0.49
539.0,205.0,205.0,10,10.4,2.43,2.35,6.77,6.92,0.15
540.0,205.0,205.0,10.2,10.9,2.52,2.47,6.45,6.34,-0.11
541.0,205.0,205.0,10.2,11.0,2.42,2.3,6.65,6.65,0.0
542.0,404.32,205.0,21.1,11.2,2.8,2.65,6.84,6.9,0.06
543.0,205.0,205.0,10.1,10.9,2.82,2.67,7.19,7.03,-0.16
544.0,205.0,205.0,10.1,10.9,,,,,
545.0,205.0,205.0,10.3,11.7,2.39,2.72,6.65,6.43,-0.22
546.0,205.0,205.0,10.2,11.2,,,,,
547.0,205.0,205.0,10.1,11.0,2.42,2.38,6.72,6.47,-0.25
548.0,205.0,205.0,10,10.4,,,,,
549.0,205.0,205.0,,,,,,,
550.0,205.0,205.0,10.2,11.2,,,,,
551.0,205.0,205.0,,,,,,,
552.0,205.0,205.0,10.2,11.1,,,,,
553.0,205.0,205.0,10.4,11.6,2.88,2.72,6.84,6.49,-0.35
554.0,205.0,205.0,,,,,,,
555.0,205.0,205.0,10.2,11.1,2.58,2.43,6.31,6.3,-0.01
556.0,205.0,205.0,,,,,,,
557.0,205.0,205.0,,,,,,,
558.0,205.0,205.0,10,10.3,2.49,2.36,6.64,6.97,0.33
559.0,205.0,205.0,10,10.2,2.46,2.36,6.7,7.03,0.33
560.0,205.0,205.0,10.1,11.0,2.46,2.35,6.64,6.54,-0.1
561.0,205.0,205.0,9.4,10.9,2.37,,7.35,,
562.0,404.32,205.0,21.4,11.8,,,,,
563.0,205.0,205.0,10,10.4,,,,,
564.0,205.0,205.0,10.1,10.9,2.53,2.41,6.5,6.47,-0.03
565.0,205.0,205.0,,,,,,,
566.0,205.0,205.0,,,,,,,
567.0,205.0,205.0,10.1,11.9,2.88,2.6,7.04,6.62,-0.42
568.0,205.0,205.0,10,10.4,2.46,2.75,6.7,7.18,0.48
569.0,205.0,205.0,,,,,,,
570.0,205.0,205.0,10.4,11.7,,,,,
571.0,205.0,205.0,10,11.0,2.63,2.38,6.36,6.47,0.11
572.0,205.0,205.0,9.4,10.8,2.39,2.27,7.28,6.85,-0.43
573.0,404.32,205.0,21,12.0,2.88,2.7,6.68,6.32,-0.36
574.0,205.0,205.0,10,10.2,,,,,
575.0,205.0,205.0,10.1,11.1,2.4,2.28,6.76,6.65,-0.11
576.0,205.0,205.0,9.4,10.8,,,,,
577.0,205.0,205.0,10.1,10.9,2.43,2.38,6.7,6.53,-0.17
578.0,205.0,205.0,10,10.4,2.53,2.36,6.56,6.9,0.34
579.0,205.0,205.0,,,,,,,
580.0,205.0,205.0,,,,,,,
581.0,205.0,205.0,10.2,11.1,2.77,2.65,7.26,6.96,-0.3
582.0,205.0,205.0,10,10.4,2.37,2.32,6.91,6.98,0.07
583.0,205.0,205.0,10.1,10.9,2.39,2.67,6.78,7.03,0.25
584.0,205.0,205.0,,,,,,,
585.0,205.0,205.0,10.3,10.9,2.88,2.7,6.91,6.96,0.05
586.0,205.0,205.0,10,10.3,2.53,2.41,6.56,6.85,0.29
587.0,205.0,205.0,10,10.3,2.86,2.67,7.18,7.44,0.26
588.0,205.0,205.0,10.2,11.0,2.91,2.3,6.91,6.65,-0.26
589.0,205.0,205.0,10.1,11.0,2.43,2.3,6.7,6.65,-0.05
590.0,404.32,205.0,21.1,11.9,2.8,2.67,6.84,6.44,-0.4
591.0,205.0,205.0,,,,,,,
592.0,404.32,205.0,21.3,12.0,2.58,2.46,7.35,6.95,-0.4
593.0,205.0,205.0,10.1,10.9,2.43,2.36,6.7,6.58,-0.12
594.0,205.0,205.0,10.1,11.0,,,,,
595.0,205.0,205.0,9.4,10.8,2.49,2.75,7.07,6.91,-0.16
596.0,205.0,205.0,10.1,10.9,2.42,2.36,6.72,6.58,-0.14
597.0,205.0,205.0,,,,,,,
598.0,205.0,205.0,9.3,10.7,2.37,2.75,7.43,6.97,-0.46
599.0,205.0,205.0,10,10.4,2.42,2.36,6.79,6.9,0.11
600.0,205.0,205.0,10,10.4,,,,,
601.0,205.0,205.0,10,11.0,2.63,2.62,6.36,5.98,-0.38
602.0,205.0,205.0,10.2,11.1,2.92,2.7,6.89,6.83,-0.06
603.0,205.0,205.0,10.4,11.8,,,,,
604.0,205.0,205.0,10.4,11.7,2.88,2.7,6.84,6.48,-0.36
605.0,205.0,205.0,10.1,11.0,2.86,2.65,7.1,7.03,-0.07
606.0,205.0,205.0,10.1,11.3,,,,,
607.0,205.0,205.0,9.4,10.8,,,,,
608.0,205.0,205.0,,,,,,,
609.0,205.0,205.0,10.1,11.0,,,,,
610.0,404.32,205.0,20.4,11.7,2.88,2.72,6.88,6.45,-0.43
611.0,205.0,205.0,10,10.4,,,,,
612.0,205.0,205.0,10.1,11.1,2.49,2.41,6.58,6.35,-0.23
613.0,205.0,205.0,10.3,11.7,,,,,
614.0,205.0,205.0,10.1,10.9,,,,,
615.0,205.0,205.0,9.4,10.8,,,,,
616.0,404.32,205.0,21.3,11.8,,,,,
617.0,205.0,205.0,10.1,11.0,,,,,
618.0,205.0,205.0,10.2,11.0,,,,,
619.0,205.0,205.0,,,,,,,
620.0,205.0,205.0,10,10.3,,,,,
621.0,205.0,205.0,,,,,,,
622.0,205.0,205.0,10,10.4,,,,,
623.0,205.0,205.0,10.1,11.0,,,,,
624.0,205.0,205.0,,,,,,,
625.0,205.0,205.0,,,,,,,
626.0,205.0,205.0,10.2,11.0,,,,,
627.0,404.32,205.0,21.2,11.9,,,,,
628.0,404.32,205.0,20.3,11.8,,,,,
629.0,205.0,205.0,10.2,11.1,,,,,
630.0,404.32,205.0,21.3,11.9,,,,,
631.0,205.0,205.0,9.4,10.7,,,,,
632.0,205.0,205.0,,,,,,,
633.0,205.0,205.0,10.3,11.1,,,,,
634.0,205.0,205.0,10,11.0,,,,,
635.0,205.0,205.0,,,,,,,
636.0,404.32,205.0,21.3,11.8,,,,,
637.0,205.0,205.0,10,10.3,,,,,
638.0,205.0,205.0,,,,,,,
639.0,205.0,205.0,10,10.3,,,,,
640.0,205.0,205.0,10.3,11.1,,,,,
641.0,205.0,205.0,9.4,10.8,,,,,
642.0,205.0,205.0,10,10.4,,,,,
643.0,205.0,205.0,10.1,11.0,,,,,
644.0,205.0,205.0,10.1,10.9,,,,,
645.0,205.0,205.0,10,11.0,,,,,
646.0,205.0,205.0,,,,,,,
647.0,205.0,205.0,10,10.3,,,,,
648.0,205.0,205.0,10,10.3,,,,,
649.0,205.0,205.0,10,10.4,,,,,
650.0,205.0,205.0,10.1,11.0,,,,,
651.0,205.0,205.0,10.1,10.9,,,,,
652.0,205.0,205.0,10.1,10.9,,,,,
653.0,205.0,205.0,9.4,10.8,,,,,
654.0,205.0,205.0,10.1,11.0,,,,,
655.0,205.0,205.0,,,,,,,
656.0,205.0,205.0,10,11.0,,,,,
657.0,205.0,205.0,,,,,,,
658.0,205.0,205.0,10,10.4,,,,,
659.0,205.0,205.0,10,11.0,,,,,
660.0,205.0,205.0,9.4,10.7,,,,,
661.0,205.0,205.0,9.4,10.8,,,,,
662.0,205.0,205.0,10.1,10.9,,,,,
663.0,205.0,205.0,,,,,,,
664.0,404.32,205.0,21.3,11.8,,,,,
665.0,205.0,205.0,,,,,,,
666.0,205.0,205.0,,,,,,,
667.0,205.0,205.0,10,10.4,,,,,
668.0,205.0,205.0,10.1,11.0,,,,,
669.0,205.0,205.0,10.2,11.0,,,,,
670.0,205.0,205.0,,,,,,,
671.0,205.0,205.0,10,10.4,,,,,
672.0,205.0,205.0,10.2,11.1,,,,,
673.0,205.0,205.0,10.1,10.3,,,,,
674.0,205.0,205.0,9.4,10.6,,,,,
675.0,205.0,205.0,,,,,,,
676.0,205.0,205.0,,,,,,,
677.0,404.32,205.0,21.2,11.8,,,,,
678.0,205.0,205.0,10.1,11.1,,,,,
679.0,205.0,205.0,10,10.4,,,,,
680.0,205.0,205.0,10,10.3,,,,,
681.0,205.0,205.0,,,,,,,
682.0,205.0,205.0,9.4,10.7,,,,,
683.0,205.0,205.0,9.4,10.7,,,,,
684.0,404.32,205.0,21.1,11.3,,,,,
685.0,205.0,205.0,,,,,,,
686.0,205.0,205.0,10.2,11.1,,,,,
687.0,205.0,205.0,10.4,11.7,,,,,
688.0,205.0,205.0,9.3,10.8,,,,,
689.0,205.0,205.0,10.1,10.9,,,,,
690.0,205.0,205.0,10,10.4,,,,,
691.0,205.0,205.0,10.2,11.0,,,,,
692.0,205.0,205.0,10.2,11.0,,,,,
693.0,205.0,205.0,,,,,,,
694.0,205.0,205.0,10,10.3,,,,,
695.0,404.32,205.0,20.3,11.1,,,,,
696.0,205.0,205.0,,,,,,,
697.0,205.0,205.0,10.1,10.9,,,,,
698.0,205.0,205.0,10,10.4,,,,,
699.0,205.0,205.0,10,10.3,,,,,
700.0,205.0,205.0,10.1,11.1,,,,,
701.0,205.0,205.0,10.1,10.9,,,,,
702.0,205.0,205.0,9.4,10.9,,,,,
703.0,205.0,205.0,10.1,11.0,,,,,
704.0,205.0,205.0,,,,,,,
705.0,205.0,205.0,9.4,10.8,,,,,
706.0,205.0,205.0,10.1,11.0,,,,,
707.0,205.0,205.0,10.1,10.9,,,,,
708.0,404.32,205.0,21.1,11.2,,,,,
709.0,205.0,205.0,10.1,11.0,,,,,
710.0,205.0,205.0,10,10.4,,,,,
711.0,205.0,205.0,10.3,11.7,,,,,
712.0,205.0,205.0,10.1,10.9,,,,,
713.0,205.0,205.0,10.1,11.2,,,,,
714.0,205.0,205.0,9.4,10.9,,,,,
715.0,205.0,205.0,10.1,10.9,,,,,
716.0,205.0,205.0,9.4,10.9,,,,,
717.0,205.0,205.0,10,10.3,,,,,
718.0,404.32,205.0,20.4,11.7,,,,,
719.0,205.0,205.0,,,,,,,
720.0,205.0,205.0,10,10.3,,,,,
721.0,205.0,205.0,10.2,11.8,,,,,
722.0,205.0,205.0,10.1,10.9,,,,,
723.0,205.0,205.0,10.2,11.2,,,,,
724.0,205.0,205.0,,,,,,,
725.0,205.0,205.0,,,,,,,
726.0,205.0,205.0,10.2,11.2,,,,,
727.0,205.0,205.0,9.4,10.8,,,,,
728.0,404.32,205.0,21.4,12.7,,,,,
729.0,205.0,205.0,10.1,11.0,,,,,
730.0,205.0,205.0,10,10.3,,,,,
731.0,205.0,205.0,10.3,11.1,,,,,
732.0,205.0,205.0,,,,,,,
733.0,205.0,205.0,,,,,,,
734.0,205.0,205.0,10,10.4,,,,,
735.0,205.0,205.0,10,10.4,,,,,
736.0,205.0,205.0,10,10.4,,,,,
737.0,205.0,205.0,9.4,10.8,,,,,
738.0,205.0,205.0,10.3,11.1,,,,,
739.0,205.0,205.0,10,10.4,,,,,
740.0,205.0,205.0,10.2,11.0,,,,,
741.0,205.0,205.0,10.1,11.0,,,,,
742.0,205.0,205.0,9.4,10.8,,,,,
743.0,404.32,205.0,21.3,11.9,,,,,
744.0,205.0,205.0,,,,,,,
745.0,205.0,205.0,,,,,,,
746.0,205.0,205.0,10,11.0,,,,,
747.0,205.0,205.0,,,,,,,
748.0,404.32,205.0,20.1,11.1,,,,,
749.0,205.0,205.0,10,11.0,,,,,
750.0,205.0,205.0,10,10.4,,,,,
751.0,205.0,205.0,,,,,,,
752.0,205.0,205.0,10,11.0,,,,,
753.0,205.0,205.0,10.2,11.1,,,,,
754.0,404.32,205.0,21,11.3,,,,,
755.0,205.0,205.0,10,11.0,,,,,
756.0,205.0,205.0,10.2,11.1,,,,,
757.0,205.0,205.0,10,10.3,,,,,
758.0,205.0,205.0,11,11.2,,,,,
759.0,205.0,205.0,,,,,,,
760.0,205.0,205.0,,,,,,,
761.0,205.0,205.0,10.1,11.1,,,,,
762.0,205.0,205.0,10.2,11.1,,,,,
763.0,205.0,205.0,,,,,,,
764.0,205.0,205.0,9.4,10.7,,,,,
765.0,205.0,205.0,10.2,11.0,,,,,
766.0,205.0,205.0,,,,,,,
767.0,205.0,205.0,,,,,,,
768.0,205.0,205.0,10.1,10.9,,,,,
769.0,205.0,205.0,10,10.4,,,,,
770.0,404.32,205.0,21.2,11.9,,,,,
771.0,205.0,205.0,,,,,,,
772.0,205.0,205.0,,,,,,,
773.0,205.0,205.0,9.4,10.8,,,,,
774.0,205.0,205.0,10.1,11.1,,,,,
775.0,205.0,205.0,,,,,,,
776.0,205.0,205.0,,,,,,,
777.0,205.0,205.0,10,10.4,,,,,
778.0,205.0,205.0,10.1,10.9,,,,,
779.0,205.0,205.0,10.1,11.0,,,,,
780.0,205.0,205.0,10.2,11.0,,,,,
781.0,205.0,205.0,10.3,11.7,,,,,
782.0,404.32,205.0,20.3,11.8,,,,,
783.0,205.0,205.0,10.1,10.9,,,,,
784.0,205.0,205.0,10,11.0,,,,,
785.0,205.0,205.0,9.4,10.8,,,,,
786.0,205.0,205.0,10.2,11.1,,,,,
787.0,205.0,205.0,10,10.4,,,,,
788.0,205.0,205.0,10.3,11.1,,,,,
789.0,205.0,205.0,10,10.3,,,,,
790.0,205.0,205.0,,,,,,,
791.0,205.0,205.0,10,10.4,,,,,
792.0,205.0,205.0,10.2,11.0,,,,,
793.0,205.0,205.0,9.4,10.8,,,,,
794.0,205.0,205.0,10.1,11.0,,,,,
795.0,205.0,205.0,10,10.3,,,,,
796.0,205.0,205.0,9.4,10.8,,,,,
797.0,205.0,205.0,10,10.3,,,,,
798.0,205.0,205.0,10.1,11.0,,,,,
799.0,205.0,205.0,10.2,11.0,,,,,
800.0,205.0,205.0,10,10.3,,,,,
801.0,205.0,205.0,10,10.3,,,,,
802.0,205.0,205.0,11,12.0,,,,,
803.0,205.0,205.0,,,,,,,
804.0,205.0,205.0,10.1,10.9,,,,,
805.0,205.0,205.0,9.4,10.7,,,,,
806.0,205.0,205.0,10.1,11.0,,,,,
807.0,205.0,205.0,10,10.4,,,,,
808.0,404.32,205.0,20.4,11.7,,,,,
809.0,205.0,205.0,,,,,,,
810.0,404.32,,21.1,11.9,,,,,
811.0,205.0,205.0,,,,,,,
812.0,205.0,205.0,10,10.4,,,,,
813.0,205.0,205.0,10.1,10.3,,,,,
814.0,404.32,205.0,22.1,12.2,,,,,
815.0,205.0,205.0,10.1,11.0,,,,,
816.0,205.0,205.0,9.4,10.8,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
