Hip,Distance UT,DistanceGO,Time UT,Time GO,Stride Frequency UT,Stride Frequency GO,Stride Length UT,Stride Length GO,diff
91.0,205.0,205.0,,,,,,,
92.0,205.0,205.0,10,10.4,2.39,2.3,6.85,7.04,0.19
93.0,205.0,205.0,,,,,,,
94.0,205.0,205.0,10.2,11.1,2.37,2.3,6.77,6.59,-0.18
95.0,404.32,205.0,21,10.0,2.68,2.6,7.18,7.0,-0.18
96.0,404.32,205.0,20.3,11.8,2.82,2.62,7.05,6.62,-0.43
97.0,205.0,205.0,10.1,11.0,2.34,2.27,6.9,6.73,-0.17
98.0,205.0,205.0,10.1,11.0,2.53,2.47,6.5,6.28,-0.22
99.0,404.32,205.0,21.2,11.9,2.91,2.75,6.56,6.27,-0.29
100.0,205.0,205.0,10.1,11.0,2.37,2.75,6.84,6.77,-0.07
101.0,205.0,205.0,10,11.0,2.83,2.63,7.24,7.08,-0.16
102.0,205.0,205.0,10.1,11.0,2.91,2.72,6.98,6.84,-0.14
103.0,205.0,205.0,10.1,10.9,2.43,2.32,6.7,6.66,-0.04
104.0,205.0,205.0,10,10.4,2.91,2.72,7.05,7.23,0.18
105.0,205.0,205.0,,,,,,,
106.0,205.0,205.0,10.2,11.0,2.92,2.58,6.89,7.21,0.32
107.0,404.32,205.0,21.3,12.0,2.78,2.67,6.83,6.39,-0.44
108.0,205.0,205.0,,,,,,,
109.0,205.0,205.0,10.1,11.0,2.53,2.38,6.5,6.47,-0.03
110.0,205.0,205.0,10,10.4,2.55,2.43,6.5,6.72,0.22
111.0,205.0,205.0,10.1,10.9,2.46,2.38,6.64,6.53,-0.11
112.0,205.0,205.0,10.2,11.0,2.75,2.61,7.32,7.14,-0.18
113.0,205.0,205.0,10.2,11.0,2.34,2.28,6.83,6.71,-0.12
114.0,205.0,205.0,10.2,11.0,2.72,2.56,7.38,7.29,-0.09
115.0,205.0,205.0,10,10.3,2.55,2.47,6.5,6.71,0.21
116.0,205.0,205.0,,,,,,,
