Hip,Distance UT,DistanceGO,Time UT,Time GO,Stride Frequency UT,Stride Frequency GO,Stride Length UT,Stride Length GO,diff,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Rank Time UT,Rank Time GO,Rank Stride Length UT,Rank Stride Length GO,Rank diff,Mean Rank,Rating
86.0,205.0,205.0,9.4,10.8,2.37,2.28,7.55,7.03,-0.52,,,,,,2.0,37.0,7.0,47.0,104.0,39.4,73.3
87.0,205.0,205.0,10.1,10.9,2.58,2.53,6.57,6.41,-0.17,,,,,,53.0,44.0,111.0,109.0,74.0,78.2,36.1
88.0,205.0,205.0,9.4,10.8,2.28,2.25,7.77,7.11,-0.66,,,,,,2.0,37.0,2.0,35.0,112.0,37.6,75.1
89.0,205.0,205.0,10.0,11.0,2.43,2.35,6.97,6.74,-0.22,,,,,,19.0,69.0,63.0,83.0,85.0,63.8,49.9
90.0,,,,,,,,,,,,,,,,,,,,,
91.0,,,,,,,,,,,,,,,,,,,,,
92.0,205.0,205.0,10.0,10.4,2.39,2.3,7.05,7.24,0.19,,,,,,19.0,14.0,48.0,22.0,27.0,26.0,86.2
93.0,,,,,,,,,,,,,,,,,,,,,
94.0,,,,,,,,,,,,,,,,,,,,,
95.0,404.32,205.0,21.0,11.2,2.08,2.1,7.38,7.23,-0.15,,,,,,3.0,2.0,1.0,1.0,6.0,2.6,100.0
96.0,404.32,205.0,20.3,11.8,2.22,2.12,7.25,6.82,-0.43,,,,,,1.0,6.0,3.0,4.0,10.0,4.8,73.2
97.0,205.0,205.0,10.1,11.0,2.34,2.27,7.1,6.93,-0.17,,,,,,53.0,69.0,44.0,59.0,74.0,59.8,53.8
98.0,205.0,205.0,10.1,11.0,2.53,2.47,6.7,6.48,-0.21,,,,,,53.0,69.0,98.0,104.0,84.0,81.6,32.8
99.0,404.32,205.0,21.2,11.9,2.31,2.25,6.76,6.47,-0.29,,,,,,8.0,10.0,12.0,11.0,9.0,10.0,10.0
100.0,205.0,205.0,10.1,11.0,2.37,2.25,7.04,6.97,-0.08,,,,,,53.0,69.0,49.0,55.0,55.0,56.2,57.2
101.0,205.0,205.0,10.0,11.0,2.23,2.13,7.44,7.28,-0.15,,,,,,19.0,69.0,10.0,21.0,70.0,37.8,74.9
102.0,205.0,205.0,10.1,11.0,2.31,2.22,7.18,7.04,-0.14,,,,,,53.0,69.0,32.0,45.0,68.0,53.4,59.9
103.0,205.0,205.0,10.1,10.9,2.43,2.32,6.9,6.86,-0.04,,,,,,53.0,44.0,74.0,71.0,46.0,57.6,55.9
104.0,205.0,205.0,10.0,10.4,2.31,2.22,7.25,7.43,0.18,,,,,,19.0,14.0,23.0,8.0,28.0,18.4,93.5
105.0,,,,,,,,,,,,,,,,,,,,,
106.0,205.0,205.0,10.2,11.0,2.32,2.08,7.09,7.41,0.32,,,,,,87.0,69.0,46.0,11.0,8.0,44.2,68.7
107.0,404.32,205.0,21.3,12.0,2.18,2.17,7.03,6.59,-0.44,,,,,,10.0,12.0,7.0,10.0,11.0,10.0,10.0
108.0,,,,,,,,,,,,,,,,,,,,,
109.0,205.0,205.0,10.1,11.0,2.53,2.38,6.7,6.67,-0.03,,,,,,53.0,69.0,98.0,91.0,45.0,71.2,42.8
110.0,205.0,205.0,10.0,10.4,2.55,2.43,6.7,6.92,0.22,,,,,,19.0,14.0,98.0,62.0,16.0,41.8,71.0
111.0,205.0,205.0,10.1,10.9,2.46,2.38,6.84,6.73,-0.11,,,,,,53.0,44.0,88.0,85.0,61.0,66.2,47.6
