Hip,Sex,Sire,State,TBX #,Day / Set,Distance,UT Time,GO Time,G.O. 1/4,G.O. 3/8,G.O. 1/2,G.O. 5/8,A.W. 1/8,A.W. 1/4,A.W. 3/8,DI,CD,Wind,Temp,Notes,Track Cond.,Barn,Consignor,Auction History,Stud Fee
486,C,Uncle Mo,KY,,,,,,,,,,,,3,0.75,,,,,1,"Top Line Sales LLC, Agent XXIV",25KEESEP $250K,N/A 2026 / $150K 2023,
487,C,MANDALOUN,KY,,,,,,,,,,,,11,1.17,,,,,1,"Top Line Sales LLC, Agent XXXVIII",25FTKJUL ($22K),$10K 2026 / $25K 2023,
488,F,Golden Pal,KY,,3 / 29,1/4,21.2,,,,,,,,4,0.7,,,,,2,"Hidden Brook, Agent V",25KEESEP $50K,$25K 2026 / $30K 2023,
489,C,HIGHLY MOTIVATED,KY,,,1/4,21,11.3,32.3,47.3,01:05.4,,11.79,26.6,0,0,3 mph TW,70°,,Fast,7,"Hoppel LLC, Agent XX",25FTKJUL $50K / 24KEENOV $26K,$7.5K 2026 / $7.5K 2023,
490,F,Practical Joke,KY,,3 / 69,1/8,10.0,,,,,,,,6,0.93,,,,,5,"S B M Training and Sales, Agent I",25KEESEP ($60K),$75K 2026 / $25K 2023,
491,F,Oscar Performance,NY,,,,,,,,,,,,3,0.71,,,,,14,"Grade One Investments LLC, Agent VII",HB,$60K 2026 / $20K 2023,
492,C,Speaker's Corner,KY,,3 / 95,1/8,10.1,,,,,,,,9,0.9,,,,,14,"Grade One Investments LLC, Agent III",25KEESEP $75K,$10K 2026 / $20K 2023,
493,C,Beau Liam,KY,,,,,,,,,,,,5,0.96,,,,,10,"S G V Thoroughbreds LLC (Steven Venosa), Agent",HB,$7.5K 2026 / $6K 2023,
494,F,Essential Quality,KY,,3 / 62,1/8,10.3,,,,,,,,3.4,0.68,,,,,17,"AVP Training and Sales, Agent",25KEESEP $25K,$25K 2026 / $75K 2023,
495,C,Highly Motivated,KY,,,1/8,10,11,34.1,39.1,,11.1,24.29,29.29,2.6,0.56,4 mph TW,71°,,Fast,8,"Niall Brennan Stables, Agent IV",25KEESEP $67K,$7.5K 2026 / $7.5K 2023,
496,F,American Pharoah,KY,,3 / 116,1/8,10.0,,,,,,,,12.33,1.05,,,,,2,"Cesar Loya Training & Sales, Agent",25KEESEP $75K / 24FTKNOV $75K,"$25,850 2026 / $60K 2023",
497,F,Golden Pal,KY,,3 / 108,1/8,10.0,,,,,,,,5,0.83,,,,,1,"Top Line Sales LLC, Agent XXIX",25KEESEP ($55K),$25K 2026 / $30K 2023,
498,C,Game Winner,KY,,,,,,,,,,,,5.67,0.85,,,,,6,"Britton Peak, Agent VI",25KEESEP $50K / 24KEENOV ($55K),N/A 2026 / $30K 2023,
499,F,Bolt d'Oro,KY,,3 / 56,1/8,10.0,,,,,,,,3,0.79,,,,,10,"S G V Thoroughbreds LLC (Steven Venosa), Agent",HB,$25K 2026 / $35K 2023,
500,C,BASIN,KY,,3 / 48,1/4,21.1,,,,,,,,Infinite,1.17,,,,,15,"Golden Thoroughbreds Training and Sales, Agent I",25FTKOCT $40K / 25FTKFEB $7K,$5K 2026 / $5K 2023,
502,F,Mind Control,NY,,3 / 141,1/8,10.0,,,,,,,,,,,,,,,17,"Champions of the Future, Agent II",,
504,C,Yaupon,FL,,3 / 68,1/4,21.1,,,,,,,,,,,,,,,10,"Tom McCrocklin, Agent",,
505,F,Golden Pal,FL,,3 / 84,1/8,9.4,,,,,,,,,,,,,,,13,"Blue River Bloodstock, Inc., Agent I",,
506,C,Twirling Candy,KY,,3 / 40,1/8,10.0,,,,,,,,,,,,,,,6,"RiceHorse Stable (Brandon & Ali Rice), Agent III",,
507,C,Gun Runner,KY,,3 / 117,1/8,10.3,,,,,,,,,,,,,,,5,"Wavertree Stables, Inc. (Ciaran Dunne), Agent XVIII",,
508,F,Drain the Clock,OH,,3 / 61,1/8,9.3,,,,,,,,,,,,,,,1,"Top Line Sales LLC, Agent XX",,
510,C,Colonel Liam,FL,,3 / 53,1/8,10.1,,,,,,,,,,,,,,,15,Two Oaks Equine,,
511,C,Yaupon,KY,,3 / 136,1/8,10.0,,,,,,,,,,,,,,,1,"Kings Equine, Agent IV",,
512,C,Freud,NY,,3 / 149,1/8,10.1,,,,,,,,,,,,,,,9,"Sequel Bloodstock, Agent I",,
513,F,Oscar Performance,KY,,3 / 139,1/4,21.1,,,,,,,,,,,,,,,10,"Tom McCrocklin, Agent VI",,
514,C,Mitole,KY,,3 / 123,1/8,10.0,,,,,,,,,,,,,,,15,Nice and Easy Thoroughbreds,,
515,C,Mind Control,NY,,3 / 52,1/8,10.1,,,,,,,,,,,,,,,18,Kae Vazquez Stables LLC,,
517,F,Upstart,KY,,3 / 42,1/8,10.2,,,,,,,,,,,,,,,14,Great Destiny,,
518,C,Life Is Good,KY,,3 / 138,1/8,10.0,,,,,,,,,,,,,,,15,"CM Thoroughbreds, Agent I",,
519,F,Nashville,LA,,3 / 144,1/8,9.4,,,,,,,,,,,,,,,13,"Blue Sapphire Stables, Agent",,
520,F,Mystic Guide,ON,,3 / 156,1/8,10.1,,,,,,,,,,,,,,,10,"S G V Thoroughbreds LLC (Steven Venosa), Agent",,
521,C,Midshipman,KY,,3 / 109,1/8,10.3,,,,,,,,,,,,,,,16,"Limitless Thoroughbred LLC, Agent",,
523,F,Jackie's Warrior,KY,,3 / 74,1/8,10.1,,,,,,,,,,,,,,,11,"Randy Miles, Agent VIII",,
524,F,Drain the Clock,KY,,3 / 41,1/8,10.4,,,,,,,,,,,,,,,14,"Little Farm Equine LLC, Agent I",,
525,F,Twirling Candy,KY,,3 / 120,1/8,10.1,,,,,,,,,,,,,,,9,"Old South Farm LLC, Agent",,
526,C,Practical Joke,KY,,3 / 152,1/8,9.4,,,,,,,,,,,,,,,1,"Top Line Sales LLC, Agent XLIV",,
527,F,Justify,KY,,3 / 4,1/8,10.0,,,,,,,,,,,,,,,10,"S G V Thoroughbreds LLC (Steven Venosa), Agent",,
528,F,Mandaloun,KY,,3 / 106,1/8,10.2,,,,,,,,,,,,,,,4,"Kinsman Farm, Agent IV",,
530,F,Munnings,KY,,3 / 14,1/8,10.0,,,,,,,,,,,,,,,13,"Blue River Bloodstock, Inc., Agent I",,
531,F,Imperial Hint,LA,,3 / 154,1/8,10.1,,,,,,,,,,,,,,,16,"Golden Rock Thoroughbreds, Agent I",,
532,F,Mo Donegal,KY,,3 / 162,1/8,10.2,,,,,,,,,,,,,,,14,"Omar Ramirez Bloodstock, Agent VI",,
533,F,Independence Hall,NY,,3 / 32,1/8,9.4,,,,,,,,,,,,,,,16,"Golden Rock Thoroughbreds, Agent",,
534,F,Liam's Map,KY,,3 / 38,1/8,10.0,,,,,,,,,,,,,,,13,"Azpurua Stables, Agent I",,
535,C,Uncle Chuck,FL,,3 / 115,1/8,10.1,,,,,,,,,,,,,,,6,"McKathan Bros. Sales, Agent",,
536,F,Epicenter,KY,,3 / 63,1/8,10.1,,,,,,,,,,,,,,,17,"Cruzin' Thoroughbreds LLC, Agent",,
537,F,Roadster,FL,,3 / 11,1/4,20.3,,,,,,,,,,,,,,,4,Ocala Stud,,
538,F,Epicenter,KY,,3 / 86,1/8,10.4,,,,,,,,,,,,,,,8,"Paul Sharp, Agent II",,
539,F,Drain the Clock,KY,,3 / 22,1/8,10.0,,,,,,,,,,,,,,,3,"Pick View LLC, Agent VI",,
540,F,Munnings,NY,,3 / 107,1/8,10.2,,,,,,,,,,,,,,,17,Next Level Thoroughbreds,,
541,C,Into Mischief,KY,,3 / 46,1/8,10.2,,,,,,,,,,,,,,,8,"Niall Brennan Stables, Agent X",,
542,C,Jackie's Warrior,KY,,3 / 7,1/4,21.1,,,,,,,,,,,,,,,3,"Pick View LLC, Agent XXIII",,
543,C,Omaha Beach,KY,,3 / 33,1/8,10.1,,,,,,,,,,,,,,,6,"Britton Peak, Agent II",,
544,C,Violence,NY,,3 / 140,1/8,10.1,,,,,,,,,,,,,,,15,"Golden Thoroughbreds Training and Sales, Agent II",,
545,C,Greatest Honour,OH,,3 / 101,1/8,10.3,,,,,,,,,,,,,,,11,"Randy Miles, Agent II",,
546,F,Nashville,KY,,3 / 145,1/8,10.2,,,,,,,,,,,,,,,7,"Julie Davies LLC, Agent",,
547,C,Caracaro,KY,,3 / 76,1/8,10.1,,,,,,,,,,,,,,,16,"Doble J Equine Sales, Agent I",,
548,C,Oscar Performance,KY,,3 / 131,1/8,10.0,,,,,,,,,,,,,,,7,"Hoppel LLC, Agent I",,
550,C,Candy Ride (ARG),KY,,3 / 143,1/8,10.2,,,,,,,,,,,,,,,11,"Randy Miles, Agent VIII",,
