track_id,num_strides,mean_stride_length_px,mean_stride_frequency_hz,mean_stride_duration_s,stride_length_cv,mean_withers_displacement_px,mean_speed_px_s,peak_speed_px_s,mean_head_neck_angle_deg,mean_forelimb_protraction_deg,mean_hindlimb_engagement_deg,mean_lateral_symmetry_pct,mean_topline_angle_deg,mean_fetlock_extension_deg,mean_hock_flexion_deg,mean_suspension_duration_s,suspension_ratio,mean_overreach_px,speed_efficiency_index,mean_acceleration_px_s2,movement_quality_score,duty_factor_l_fore,duty_factor_r_fore,duty_factor_l_hind,duty_factor_r_hind
0,8,51.45,2.186,0.4859,0.8949,44.63,121.69,486.79,121.4,123.6,132.6,42.47,180.0,160.5,106.3,0.3837,0.79,76.11,55.67,-122.85,35.0,0.158,0.055,,
1,4,70.19,2.811,0.3587,0.7851,63.35,207.52,470.12,86.7,135.1,143.6,35.16,180.0,109.6,98.5,0.3837,1.07,5.21,73.81,153.01,17.1,0.7,0.8,0.371,0.35
