track_id,num_strides,mean_stride_length_px,mean_stride_frequency_hz,mean_stride_duration_s,stride_length_cv,mean_withers_displacement_px,mean_speed_px_s,peak_speed_px_s,mean_head_neck_angle_deg,mean_forelimb_protraction_deg,mean_hindlimb_engagement_deg,mean_lateral_symmetry_pct,mean_topline_angle_deg,mean_knee_flexion_deg,mean_fetlock_extension_deg,mean_hock_flexion_deg,mean_suspension_duration_s,suspension_ratio,mean_overreach_px,mean_ground_cover_px,speed_efficiency_index,mean_acceleration_px_s2,movement_quality_score,duty_factor_l_fore,duty_factor_r_fore,duty_factor_l_hind,duty_factor_r_hind
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
1,2,33.83,2.626,0.3837,0.8865,104.21,95.69,182.17,60.7,90.9,124.4,60.3,180.0,19.0,33.5,124.1,0.3337,0.87,-2.43,34.67,36.44,493.68,24.0,0.048,0.135,0.19,0.19
